K Value,Correct Ham,Correct Spam,Incorrect Ham,Incorrect Spam,Percentage Accuracy
3.1,322,145,0,33,0.934
3.1500000000000004,322,145,0,33,0.934
3.2,322,145,0,33,0.934
3.25,322,145,0,33,0.934
3.3000000000000003,321,145,0,34,0.932
3.35,321,145,0,34,0.932
3.4000000000000004,321,145,0,34,0.932
3.45,321,145,0,34,0.932
3.5,321,145,0,34,0.932
3.5500000000000003,321,145,0,34,0.932
3.6,320,145,0,35,0.93
3.6500000000000004,320,145,0,35,0.93
3.7,320,145,0,35,0.93
3.75,320,145,0,35,0.93
3.8000000000000003,320,145,0,35,0.93
3.85,319,145,0,36,0.928
3.9000000000000004,319,145,0,36,0.928
3.95,318,145,0,37,0.926
4.0,317,145,0,38,0.924
4.05,317,145,0,38,0.924
4.1000000000000005,317,145,0,38,0.924
4.15,317,145,0,38,0.924
4.2,317,145,0,38,0.924
4.25,317,145,0,38,0.924
4.3,316,145,0,39,0.922
4.3500000000000005,316,145,0,39,0.922
4.4,315,145,0,40,0.92
4.45,315,145,0,40,0.92
4.5,315,145,0,40,0.92
4.55,315,145,0,40,0.92
4.6000000000000005,315,145,0,40,0.92
4.65,315,145,0,40,0.92
4.7,315,145,0,40,0.92
4.75,315,145,0,40,0.92
4.800000000000001,314,145,0,41,0.918
4.8500000000000005,314,145,0,41,0.918
4.9,314,145,0,41,0.918
4.95,314,145,0,41,0.918
5.0,314,145,0,41,0.918
5.050000000000001,314,145,0,41,0.918
5.1000000000000005,314,145,0,41,0.918
5.15,314,145,0,41,0.918
5.2,314,145,0,41,0.918
5.25,314,145,0,41,0.918
5.300000000000001,314,145,0,41,0.918
5.3500000000000005,314,145,0,41,0.918
5.4,314,145,0,41,0.918
5.45,314,145,0,41,0.918
5.5,314,145,0,41,0.918
5.550000000000001,314,145,0,41,0.918
5.6000000000000005,314,145,0,41,0.918
5.65,314,145,0,41,0.918
5.7,314,145,0,41,0.918
5.75,314,145,0,41,0.918
